ID,rodata,data,hora,mandante,visitante,mandante_Placar,visitante_Placar,ELO_Rating_mandante,ELO_Rating_visitante,Chutes_mandante,Chutes_visitante,Chutes_no_alvo_mandante,Chutes_no_alvo_visitante,Posse_mandante,Posse_visitante,Passes_mandante,Passes_visitante,Precisão_passes_mandante,Precisão_passes_visitante,Faltas_mandante,Faltas_visitante,Cartão_amarelo_mandante,Cartão_amarelo_visitante,Cartão_vermelho_mandante,Cartão_vermelho_visitante,Impedimentos_mandante,Impedimentos_visitante,Escanteios_mandante,Escanteios_visitante,Vencedor
4987,1,09/05/2015,18:32,Chapecoense,Coritiba,2,1,"1011,92","1027,83",13,16,5,5,45%,55%,326,388,80%,80%,20,21,2,2,0,0,3,0,3,5,Chapecoense
4988,1,09/05/2015,18:33,Palmeiras,Atletico-MG,2,2,"1009,8","1118,91",17,10,6,4,50%,50%,406,426,80%,80%,20,14,2,4,0,0,2,4,11,2,Empate
4989,1,09/05/2015,21:00,Fluminense,Joinville,1,0,"1011,41","947,02",26,3,11,0,74%,26%,702,250,80%,80%,9,14,2,0,0,1,1,1,5,3,Fluminense
4990,1,10/05/2015,11:00,Gremio,Ponte Preta,3,3,"1128,2","1014,55",11,17,6,8,45%,55%,401,473,80%,80%,17,21,3,4,0,1,2,0,5,10,Empate
4993,1,10/05/2015,15:59,Cruzeiro,Corinthians,0,1,"1120,94","1193,14",13,11,1,3,56%,44%,487,391,80%,80%,17,15,3,1,0,0,4,2,2,4,Corinthians
4994,1,10/05/2015,15:59,Sport,Figueirense,4,1,"1081,34","1001,41",17,7,11,1,54%,46%,449,391,80%,80%,17,14,1,2,0,1,0,3,7,1,Sport
4991,1,10/05/2015,16:00,Athletico-PR,Internacional,3,0,"1040,64","1107,7",10,17,4,4,39%,61%,335,502,80%,80%,17,17,1,2,0,0,1,1,2,11,Athletico-PR
4992,1,10/05/2015,16:02,Sao Paulo,Flamengo,2,1,"1112,92","1019,04",19,12,5,4,54%,46%,502,430,80%,80%,17,12,2,1,0,0,1,6,4,6,Sao Paulo
4996,1,10/05/2015,18:29,Vasco,Goias,0,0,"1024,31","971,26",11,5,1,3,62%,38%,439,279,80%,80%,16,27,3,5,0,0,0,2,4,2,Empate
4995,1,10/05/2015,18:34,Avai,Santos,1,1,"976,72","1079,35",16,8,4,3,51%,49%,462,452,80%,80%,10,11,2,1,0,1,2,2,4,3,Empate
4997,2,16/05/2015,18:29,Goias,Athletico-PR,2,0,"971,26","1040,64",13,8,6,2,41%,59%,334,477,80%,80%,14,18,2,1,0,1,0,1,6,5,Goias
4998,2,16/05/2015,18:33,Coritiba,Gremio,2,0,"1027,83","1128,2",9,10,3,4,43%,57%,353,456,80%,80%,22,13,2,3,0,0,3,4,2,4,Coritiba
4999,2,16/05/2015,21:02,Corinthians,Chapecoense,1,0,"1193,14","1011,92",13,11,5,4,46%,54%,437,487,80%,80%,16,13,2,4,0,0,1,5,7,2,Corinthians
5000,2,17/05/2015,11:03,Figueirense,Vasco,0,0,"1001,41","1024,31",12,14,0,0,47%,53%,381,436,80%,80%,18,13,2,6,0,0,3,0,6,7,Empate
5001,2,17/05/2015,16:01,Atletico-MG,Fluminense,4,1,"1118,91","1011,41",16,8,8,2,54%,46%,466,411,80%,80%,17,9,2,1,0,0,1,2,7,0,Atletico-MG
5002,2,17/05/2015,16:02,Flamengo,Sport,2,2,"1019,04","1081,34",18,14,6,4,59%,41%,492,373,80%,80%,10,7,2,3,0,0,6,1,13,3,Empate
5003,2,17/05/2015,16:02,Santos,Cruzeiro,1,0,"1079,35","1120,94",20,7,5,1,44%,56%,351,445,80%,80%,18,13,1,4,0,0,2,5,15,3,Santos
5006,2,17/05/2015,18:30,Internacional,Avai,1,0,"1107,7","976,72",8,6,2,2,57%,43%,451,345,80%,80%,17,26,3,7,0,0,2,4,4,9,Internacional
5004,2,17/05/2015,18:31,Joinville,Palmeiras,0,0,"947,02","1009,8",8,11,1,2,39%,61%,377,589,80%,80%,17,12,3,1,0,0,5,3,1,5,Empate
5005,2,17/05/2015,18:33,Ponte Preta,Sao Paulo,1,0,"1014,55","1112,92",19,10,7,2,40%,60%,373,549,80%,80%,15,14,1,3,0,0,5,1,6,4,Ponte Preta
5008,3,23/05/2015,18:31,Vasco,Internacional,1,1,"1024,31","1107,7",13,7,5,1,61%,39%,466,312,80%,80%,15,16,6,2,0,1,1,0,8,1,Empate
