partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
4987,1,Coritiba,16,5,55%,388,80%,21,2,0,0,5
4987,1,Chapecoense,13,5,45%,326,80%,20,2,0,3,3
4988,1,Atletico-MG,10,4,50%,426,80%,14,4,0,4,2
4988,1,Palmeiras,17,6,50%,406,80%,20,2,0,2,11
4989,1,Joinville,3,0,26%,250,80%,14,0,1,1,3
4989,1,Fluminense,26,11,74%,702,80%,9,2,0,1,5
4990,1,Ponte Preta,17,8,55%,473,80%,21,4,1,0,10
4990,1,Gremio,11,6,45%,401,80%,17,3,0,2,5
4993,1,Corinthians,11,3,44%,391,80%,15,1,0,2,4
4993,1,Cruzeiro,13,1,56%,487,80%,17,3,0,4,2
4994,1,Figueirense,7,1,46%,391,80%,14,2,1,3,1
4994,1,Sport,17,11,54%,449,80%,17,1,0,0,7
4991,1,Internacional,17,4,61%,502,80%,17,2,0,1,11
4991,1,Athletico-PR,10,4,39%,335,80%,17,1,0,1,2
4992,1,Flamengo,12,4,46%,430,80%,12,1,0,6,6
4992,1,Sao Paulo,19,5,54%,502,80%,17,2,0,1,4
4996,1,Vasco,11,1,62%,439,80%,16,3,0,0,4
4996,1,Goias,5,3,38%,279,80%,27,5,0,2,2
4995,1,Santos,8,3,49%,452,80%,11,1,1,2,3
4995,1,Avai,16,4,51%,462,80%,10,2,0,2,4
4997,2,Goias,13,6,41%,334,80%,14,2,0,0,6
4997,2,Athletico-PR,8,2,59%,477,80%,18,1,1,1,5
4998,2,Gremio,10,4,57%,456,80%,13,3,0,4,4
4998,2,Coritiba,9,3,43%,353,80%,22,2,0,3,2
4999,2,Corinthians,13,5,46%,437,80%,16,2,0,1,7
4999,2,Chapecoense,11,4,54%,487,80%,13,4,0,5,2
5000,2,Figueirense,12,0,47%,381,80%,18,2,0,3,6
5000,2,Vasco,14,0,53%,436,80%,13,6,0,0,7
5001,2,Fluminense,8,2,46%,411,80%,9,1,0,2,0
5001,2,Atletico-MG,16,8,54%,466,80%,17,2,0,1,7
5002,2,Sport,14,4,41%,373,80%,7,3,0,1,3
5002,2,Flamengo,18,6,59%,492,80%,10,2,0,6,13
5003,2,Cruzeiro,7,1,56%,445,80%,13,4,0,5,3
5003,2,Santos,20,5,44%,351,80%,18,1,0,2,15
5006,2,Avai,6,2,43%,345,80%,26,7,0,4,9
5006,2,Internacional,8,2,57%,451,80%,17,3,0,2,4
5004,2,Joinville,8,1,39%,377,80%,17,3,0,5,1
5004,2,Palmeiras,11,2,61%,589,80%,12,1,0,3,5
5005,2,Sao Paulo,10,2,60%,549,80%,14,3,0,1,4
5005,2,Ponte Preta,19,7,40%,373,80%,15,1,0,5,6
5008,3,Vasco,13,5,61%,466,80%,15,6,0,1,8
5008,3,Internacional,7,1,39%,312,80%,16,2,1,0,1
5007,3,Sao Paulo,16,7,63%,642,80%,12,2,0,3,5
5007,3,Joinville,7,1,37%,380,80%,11,0,0,1,0
5009,3,Figueirense,5,1,37%,326,80%,24,5,0,1,4
5009,3,Gremio,19,4,63%,536,80%,16,6,0,1,11
5010,3,Palmeiras,21,9,74%,445,80%,13,6,1,5,13
5010,3,Goias,7,5,26%,171,80%,24,4,1,1,6
5011,3,Santos,15,3,60%,462,80%,20,6,0,3,5
5011,3,Chapecoense,13,5,40%,307,80%,13,5,0,3,4
5012,3,Athletico-PR,11,6,36%,324,80%,7,4,1,4,2
5012,3,Atletico-MG,16,3,64%,537,80%,8,0,0,3,9
5013,3,Fluminense,15,4,42%,355,80%,19,2,0,2,9
5013,3,Corinthians,7,2,58%,500,80%,6,2,0,3,6
5014,3,Flamengo,8,4,57%,443,80%,17,6,0,7,2
5014,3,Avai,13,4,43%,338,80%,15,5,0,0,4
5015,3,Ponte Preta,15,5,46%,357,80%,11,2,0,4,3
5015,3,Cruzeiro,22,4,54%,390,80%,17,2,0,3,16
5016,3,Coritiba,9,2,51%,385,80%,17,4,0,0,5
5016,3,Sport,12,1,49%,388,80%,13,1,0,1,2
5017,4,Ponte Preta,13,5,47%,438,80%,20,4,0,1,0
5017,4,Chapecoense,14,4,53%,483,80%,15,1,1,0,4
5018,4,Avai,11,5,42%,310,80%,21,4,0,0,3
5018,4,Coritiba,11,3,58%,413,80%,17,4,0,3,5
5019,4,Joinville,10,4,54%,464,80%,12,0,0,1,4
